-18.435,2.708,66.337,-69.045
-14.534,2.019,67.867,-69.886
-10.491,1.498,69.03,-70.528
-6.34,1.147,69.814,-70.962
-2.121,0.972,70.208,-71.18
2.121,0.972,70.208,-71.18
6.34,1.147,69.814,-70.962
10.491,1.498,69.03,-70.528
14.534,2.019,67.867,-69.886
18.435,2.708,66.337,-69.045
18.435,2.708,66.337,-69.045
17.241,5.065,61.149,-66.214
16.189,7.509,55.826,-63.336
15.255,10.043,50.351,-60.395
14.421,12.672,44.703,-57.376
13.671,15.406,38.855,-54.262
12.995,18.259,32.772,-51.031
12.381,21.251,26.408,-47.659
11.821,24.409,19.701,-44.11
11.31,27.771,12.568,-40.339
11.31,27.771,12.568,-40.339
8.842,27.154,13.877,-41.031
6.34,26.693,14.855,-41.548
3.814,26.386,15.505,-41.891
1.273,26.233,15.83,-42.063
-1.273,26.233,15.83,-42.063
-3.814,26.386,15.505,-41.891
-6.34,26.693,14.855,-41.548
-8.842,27.154,13.877,-41.031
-11.31,27.771,12.568,-40.339
-11.31,27.771,12.568,-40.339
-11.821,24.409,19.701,-44.11
-12.381,21.251,26.408,-47.659
-12.995,18.259,32.772,-51.031
-13.671,15.406,38.855,-54.262
-14.421,12.672,44.703,-57.376
-15.255,10.043,50.351,-60.395
-16.189,7.509,55.826,-63.336
-17.241,5.065,61.149,-66.214
-18.435,2.708,66.337,-69.045
